
           3. 2d                                    : etime=00:00:00.1    ctime=00:00:00.1    rss= 73.973 Mbyte     virtual= 62.543 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:02.9    ctime=00:00:04.8    rss=351.820 Mbyte     virtual=391.848 Mbyte     
        3. constructing excitation (55928 x 2)      : etime=00:00:00.0    ctime=00:00:00.0    rss=353.527 Mbyte     virtual=393.551 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.2    ctime=00:00:00.4    rss=355.457 Mbyte     virtual=395.250 Mbyte     
        5. error estimation                         : etime=00:00:00.2    ctime=00:00:00.5    rss=356.543 Mbyte     virtual=396.168 Mbyte     
           1. volume errors                         : etime=00:00:00.1    ctime=00:00:00.2    rss=356.543 Mbyte     virtual=396.168 Mbyte     
           2. face errors                           : etime=00:00:00.1    ctime=00:00:00.2    rss=356.543 Mbyte     virtual=396.168 Mbyte     
     2. writing circuit results                     : etime=00:00:00.0    ctime=00:00:00.0    rss=356.926 Mbyte     virtual=396.168 Mbyte     
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=356.543 Mbyte     virtual=396.168 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=356.727 Mbyte     virtual=396.168 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=356.727 Mbyte     virtual=396.168 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=356.734 Mbyte     virtual=396.168 Mbyte     

  5. generating refinement points                   : etime=00:00:00.1    ctime=00:00:00.1    rss=357.379 Mbyte     virtual=397.395 Mbyte     

  1. AFS                                            : etime=00:00:18.2    ctime=00:00:00.1    rss= 25.004 Mbyte     virtual= 17.328 Mbyte     

  2. writing sio file                               : etime=00:00:00.0    ctime=00:00:00.0    rss= 25.004 Mbyte     virtual= 17.328 Mbyte     
